Time,Name,State,PID,PPID,PGRP,AvgCPUPerc,CurCPUPerc,MinFlt,MajFlt,UserTimeJiffies,SystemTimeJiffies,UserTimePerc,SystemTimePerc,Priority,Nice,Threads,StartTimeJiffies,RunTimeSecs,VmPeakkB,VmSizekB,VmLckkB,VmHWMkB,VmRsskB,VmSwapkB,TotReadBytes,CurReadBytesPerSec,TotReadBytesStorage,CurReadBytesStoragePerSec,TotWrittenBytes,CurWrittenBytesPerSec,TotWrittenBytesStorage,CurWrittenBytesStoragePerSec,TotReadCalls,CurReadCalls,TotWriteCalls,CurWriteCalls
16434.048168987,audria,D,22635,22634,42,0.00,0.0,61,0,0,0,-nan,-nan,20,0,1,1643404,0.01,16176,16176,0,196,196,0,0,0.0,16384,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16434.147903433,firefox-bin,R,22635,22634,42,30.00,30.08,2076,83,1,2,33.33,66.67,20,0,1,1643404,0.10,197828,197708,0,7880,7880,0,62093,622583.29,7335936,73390411.17,0,0.00,0,0.00,79,792.10,0,0.00
16434.249287091,firefox-bin,D,22635,22634,42,23.81,19.73,2927,117,2,3,40.00,60.00,20,0,1,1643404,0.21,226776,226776,0,10800,10800,0,184025,1202679.04,10330112,29533122.59,8580,84629.02,0,0.00,133,532.63,368,3629.78
16434.347896227,firefox-bin,R,22635,22634,42,33.33,50.71,3724,160,5,5,50.00,50.00,20,0,1,1643404,0.30,289916,289800,0,13784,13784,0,207030,233294.81,12804096,25088790.96,8596,162.26,0,0.00,165,324.51,370,20.28
16434.447985013,firefox-bin,R,22635,22634,42,34.15,39.96,4491,184,8,6,57.14,42.86,20,0,4,1643404,0.41,322312,321288,0,16692,16692,0,411029,2038180.38,15470592,26641306.25,9696,10990.24,0,0.00,241,759.33,393,229.80
16434.547888378,firefox-bin,D,22635,22634,42,40.00,60.06,5666,206,12,8,60.00,40.00,20,0,5,1643404,0.50,342536,342532,0,20560,20560,0,555684,1447949.23,18591744,31241710.43,16940,72510.07,0,0.00,333,920.89,394,10.01
16434.647877648,firefox-bin,R,22635,22634,42,41.67,50.01,7633,258,17,8,68.00,32.00,20,0,7,1643404,0.60,369228,369228,0,28436,28436,0,760928,2052660.25,24629248,60381518.94,16964,240.03,0,0.00,396,630.07,397,30.00
16434.747892938,firefox-bin,R,22635,22634,42,47.14,79.99,8807,273,23,10,69.70,30.30,20,0,8,1643404,0.70,382312,381288,0,33076,33076,0,795931,349976.49,26320896,16913893.87,16965,10.00,0,0.00,399,30.00,398,10.00
16434.847896533,firefox-bin,D,22635,22634,42,48.75,60.00,10895,292,28,11,71.79,28.21,20,0,8,1643404,0.80,409708,408684,0,41076,41076,0,1010932,2149932.71,32792576,64714473.51,33149,161834.18,4096,40958.53,605,2059.93,400,20.00
16434.947971813,firefox-bin,R,22635,22634,42,53.33,89.93,22371,292,34,14,70.83,29.17,20,0,8,1643404,0.90,425068,417900,0,72492,65672,0,8325492,73090577.41,35127296,23329637.45,33149,0.00,4096,0.00,606,9.99,400,0.00
